Code_INSEE;Nom_commune;Code_postal;coordonnees_gps;Population
53238;ST MARS SUR LA FUTAIE;53220;48.4311, -1.01165;587
53242;ST MICHEL DE LA ROE;53350;47.8723, -1.12404;270
53243;ST OUEN DES TOITS;53410;48.1425, -0.892808;1757
53247;ST PIERRE LA COUR;53410;48.1084, -1.02378;2178
53253;ST SATURNIN DU LIMET;53800;47.8161, -1.08925;522
53256;ST THOMAS DE COURCERIERS;53160;48.2645, -0.265752;202
53258;LA SELLE CRAONNAISE;53800;47.8468, -1.05851;975
53259;SENONNES;53390;47.807, -1.19639;350
53265;TORCE VIVIERS EN CHARNIE;53270;48.0969, -0.271506;782
53265;TORCE VIVIERS EN CHARNIE;53270;48.0969, -0.271506;782
53271;VILLAINES LA JUHEL;53700;48.3394, -0.292005;2971
53276;VOUTRE;53600;48.1374, -0.292517;929
54009;ALLAMONT;54800;49.1285, 5.7766;161
54012;AMANCE;54770;48.755, 6.30928;338
54013;AMENONCOURT;54450;48.6301, 6.78444;85
54017;ANGOMONT;54540;48.5049, 6.97199;86
54023;ARRACOURT;54370;48.7246, 6.53305;250
54025;ART SUR MEURTHE;54510;48.6606, 6.26295;1654
85147;MONTOURNAIS;85700;46.7503, -0.770014;1738
85160;NESMY;85310;46.5922, -1.40948;2878
85164;NOTRE DAME DE MONTS;85690;46.8424, -2.10929;2059
85177;LE POIRE SUR VELLUIRE;85770;46.4191, -0.910476;674
85185;PUYRAVAULT;85450;46.3654, -1.09116;688
85189;NOTRE DAME DE RIEZ;85270;46.7532, -1.89353;2072
85192;ROCHETREJOUX;85510;46.7853, -0.996743;937
85196;ST ANDRE GOULE D OIE;85250;46.841, -1.19644;1820
85197;MONTREVERD;85260;46.9278, -1.41262;3619
85200;ST AVAUGOURD DES LANDES;85540;46.5137, -1.47528;1058
85202;STE CECILE;85110;46.731, -1.12107;1709
85208;ST DENIS LA CHEVASSE;85170;46.8326, -1.38303;2314
85211;STE FLAIVE DES LOUPS;85150;46.611, -1.58032;2392
85226;ST HILAIRE DE RIEZ;85270;46.7433, -1.96439;11407
85231;ST HILAIRE LA FORET;85440;46.4551, -1.53048;840
85238;ST LAURENT SUR SEVRE;85290;46.9507, -0.901124;4241
85243;BREM SUR MER;85470;46.6119, -1.81004;2652
85246;ST MARTIN DES NOYERS;85140;46.7239, -1.20379;2326
85248;ST MARTIN LARS EN STE HERMINE;85210;46.597, -0.976384;423
85269;ST SIGISMOND;85420;46.3369, -0.707294;407
85278;ST VINCENT SUR JARD;85520;46.4298, -1.54956;1328
